Generation	Size	Frequency	Count
90.063957	19	0.025921	1
90.063957	26	0.035471	1
90.063957	23	0.031378	1
90.063957	36	0.049113	1
90.063957	51	0.069577	1
90.063957	35	0.047749	1
90.063957	28	0.038199	1
100.065453	1	0.001001	188
100.065453	2	0.002002	68
100.065453	3	0.003003	40
100.065453	4	0.004004	24
100.065453	5	0.005005	30
100.065453	6	0.006006	22
100.065453	7	0.007007	27
100.065453	8	0.008008	23
100.065453	9	0.009009	6
100.065453	10	0.010010	24
100.065453	999	1.000000	1
100.065453	221	0.221221	1
100.065453	200	0.200200	8
100.065453	253	0.253253	4
100.065453	21	0.021021	22
100.065453	174	0.174174	14
100.065453	11	0.011011	29
100.065453	440	0.440440	1
100.065453	242	0.242242	9
100.065453	26	0.026026	12
100.065453	321	0.321321	8
100.065453	85	0.085085	2
100.065453	119	0.119119	11
100.065453	311	0.311311	1
100.065453	69	0.069069	5
100.065453	78	0.078078	4
100.065453	173	0.173173	4
100.065453	22	0.022022	9
100.065453	155	0.155155	3
100.065453	64	0.064064	3
100.065453	115	0.115115	2
100.065453	19	0.019019	7
100.065453	67	0.067067	2
100.065453	106	0.106106	3
100.065453	28	0.028028	2
100.065453	110	0.110110	3
100.065453	15	0.015015	13
100.065453	27	0.027027	6
100.065453	12	0.012012	6
100.065453	146	0.146146	1
100.065453	13	0.013013	7
100.065453	40	0.040040	1
100.065453	79	0.079079	2
100.065453	95	0.095095	1
100.065453	62	0.062062	1
100.065453	16	0.016016	7
100.065453	33	0.033033	1
100.065453	48	0.048048	3
100.065453	14	0.014014	3
100.065453	25	0.025025	2
100.065453	18	0.018018	3
100.065453	20	0.020020	1
100.065453	31	0.031031	1
110.067223	1	0.000629	258
110.067223	2	0.001258	128
110.067223	3	0.001887	58
110.067223	4	0.002516	71
110.067223	5	0.003145	51
110.067223	6	0.003774	27
110.067223	7	0.004403	30
110.067223	8	0.005031	25
110.067223	9	0.005660	28
110.067223	10	0.006289	10
110.067223	1590	1.000000	1
110.067223	262	0.164780	1
110.067223	204	0.128302	8
110.067223	493	0.310063	13
110.067223	58	0.036478	24
110.067223	182	0.114465	13
110.067223	778	0.489308	1
110.067223	22	0.013836	16
110.067223	487	0.306289	8
110.067223	57	0.035849	10
110.067223	291	0.183019	11
110.067223	438	0.275472	1
110.067223	436	0.274214	4
110.067223	49	0.030818	8
110.067223	23	0.014465	10
110.067223	299	0.188050	1
110.067223	142	0.089308	3
110.067223	18	0.011321	19
110.067223	53	0.033333	6
110.067223	116	0.072956	2
110.067223	40	0.025157	5
110.067223	112	0.070440	2
110.067223	17	0.010692	9
110.067223	187	0.117610	3
110.067223	315	0.198113	3
110.067223	31	0.019497	2
110.067223	69	0.043396	5
110.067223	52	0.032704	2
110.067223	42	0.026415	3
110.067223	384	0.241509	1
110.067223	24	0.015094	7
110.067223	63	0.039623	3
110.067223	12	0.007547	12
110.067223	78	0.049057	2
110.067223	176	0.110692	1
110.067223	198	0.124528	1
110.067223	72	0.045283	2
110.067223	50	0.031447	2
110.067223	13	0.008176	11
110.067223	152	0.095597	1
110.067223	19	0.011950	4
110.067223	26	0.016352	6
110.067223	16	0.010063	4
110.067223	54	0.033962	3
110.067223	11	0.006918	10
110.067223	14	0.008805	15
110.067223	27	0.016981	2
110.067223	34	0.021384	1
110.067223	46	0.028931	4
110.067223	15	0.009434	7
110.067223	38	0.023899	2
110.067223	39	0.024528	1
110.067223	45	0.028302	1
110.067223	20	0.012579	4
110.067223	44	0.027673	3
110.067223	30	0.018868	2
110.067223	47	0.029560	2
110.067223	36	0.022642	1
110.067223	37	0.023270	2
110.067223	29	0.018239	1
110.067223	25	0.015723	2
110.067223	21	0.013208	3
110.067223	28	0.017610	2
120.069542	1	0.000459	391
120.069542	2	0.000917	203
120.069542	3	0.001376	122
120.069542	4	0.001834	102
120.069542	5	0.002293	47
120.069542	6	0.002751	40
120.069542	7	0.003210	30
120.069542	8	0.003668	24
120.069542	9	0.004127	38
120.069542	10	0.004585	22
120.069542	2181	1.000000	1
120.069542	296	0.135718	1
120.069542	183	0.083906	8
120.069542	601	0.275562	13
120.069542	113	0.051811	23
120.069542	179	0.082072	13
120.069542	1244	0.570381	1
120.069542	810	0.371389	8
120.069542	40	0.018340	15
120.069542	434	0.198991	11
120.069542	748	0.342962	1
120.069542	68	0.031178	5
120.069542	533	0.244383	4
120.069542	62	0.028427	8
120.069542	589	0.270060	1
120.069542	155	0.071068	3
120.069542	28	0.012838	17
120.069542	159	0.072902	2
120.069542	24	0.011004	7
120.069542	255	0.116919	2
120.069542	334	0.153141	3
120.069542	372	0.170564	3
120.069542	54	0.024759	3
120.069542	25	0.011463	10
120.069542	124	0.056855	6
120.069542	37	0.016965	3
120.069542	47	0.021550	4
120.069542	496	0.227419	1
120.069542	70	0.032095	4
120.069542	114	0.052270	3
120.069542	14	0.006419	22
120.069542	96	0.044017	2
120.069542	323	0.148097	1
120.069542	304	0.139386	1
120.069542	212	0.097203	2
120.069542	310	0.142137	1
120.069542	30	0.013755	1
120.069542	16	0.007336	18
120.069542	23	0.010546	9
120.069542	11	0.005044	21
120.069542	32	0.014672	4
120.069542	20	0.009170	17
120.069542	38	0.017423	2
120.069542	31	0.014214	8
120.069542	56	0.025676	2
120.069542	21	0.009629	12
120.069542	17	0.007795	10
120.069542	29	0.013297	4
120.069542	22	0.010087	13
120.069542	59	0.027052	1
120.069542	15	0.006878	12
120.069542	74	0.033929	4
120.069542	55	0.025218	3
120.069542	196	0.089867	1
120.069542	26	0.011921	3
120.069542	193	0.088492	1
120.069542	84	0.038514	3
120.069542	43	0.019716	2
120.069542	13	0.005961	12
120.069542	34	0.015589	1
120.069542	119	0.054562	1
120.069542	50	0.022925	2
120.069542	145	0.066483	2
120.069542	19	0.008712	10
120.069542	48	0.022008	1
120.069542	41	0.018799	2
120.069542	65	0.029803	2
120.069542	12	0.005502	24
120.069542	69	0.031637	3
120.069542	60	0.027510	2
120.069542	108	0.049519	2
120.069542	88	0.040348	2
120.069542	71	0.032554	1
120.069542	39	0.017882	1
120.069542	49	0.022467	1
120.069542	27	0.012380	2
120.069542	35	0.016048	3
120.069542	36	0.016506	3
120.069542	18	0.008253	3
130.070816	1	0.000383	449
130.070816	2	0.000766	234
130.070816	3	0.001149	139
130.070816	4	0.001533	101
130.070816	5	0.001916	67
130.070816	6	0.002299	78
130.070816	7	0.002682	60
130.070816	8	0.003065	54
130.070816	9	0.003448	32
130.070816	10	0.003831	23
130.070816	2610	1.000000	1
130.070816	495	0.189655	1
130.070816	196	0.075096	21
130.070816	640	0.245211	13
130.070816	299	0.114559	23
130.070816	1431	0.548276	1
130.070816	939	0.359770	8
130.070816	44	0.016858	13
130.070816	492	0.188506	11
130.070816	887	0.339847	1
130.070816	43	0.016475	4
130.070816	597	0.228736	4
130.070816	52	0.019923	14
130.070816	702	0.268966	1
130.070816	175	0.067050	3
130.070816	16	0.006130	28
130.070816	185	0.070881	2
130.070816	21	0.008046	18
130.070816	298	0.114176	2
130.070816	404	0.154789	3
130.070816	384	0.147126	3
130.070816	73	0.027969	2
130.070816	23	0.008812	30
130.070816	95	0.036398	6
130.070816	118	0.045211	2
130.070816	58	0.022222	3
130.070816	479	0.183525	1
130.070816	59	0.022605	7
130.070816	116	0.044444	3
130.070816	83	0.031801	2
130.070816	395	0.151341	1
130.070816	29	0.011111	13
130.070816	324	0.124138	1
130.070816	284	0.108812	2
130.070816	258	0.098851	1
130.070816	47	0.018008	9
130.070816	11	0.004215	43
130.070816	30	0.011494	13
130.070816	72	0.027586	2
130.070816	33	0.012644	7
130.070816	31	0.011877	7
130.070816	53	0.020307	6
130.070816	17	0.006513	12
130.070816	90	0.034483	1
130.070816	12	0.004598	30
130.070816	119	0.045594	3
130.070816	22	0.008429	17
130.070816	67	0.025670	3
130.070816	102	0.039080	2
130.070816	35	0.013410	12
130.070816	60	0.022989	1
130.070816	38	0.014559	8
130.070816	266	0.101916	2
130.070816	45	0.017241	6
130.070816	105	0.040230	2
130.070816	20	0.007663	16
130.070816	180	0.068966	1
130.070816	40	0.015326	2
130.070816	87	0.033333	3
130.070816	92	0.035249	1
130.070816	216	0.082759	1
130.070816	224	0.085824	2
130.070816	156	0.059770	2
130.070816	36	0.013793	6
130.070816	42	0.016092	5
130.070816	27	0.010345	6
130.070816	39	0.014943	7
130.070816	34	0.013027	4
130.070816	165	0.063218	3
130.070816	78	0.029885	1
130.070816	24	0.009195	8
130.070816	37	0.014176	4
130.070816	81	0.031034	2
130.070816	18	0.006897	13
130.070816	14	0.005364	18
130.070816	15	0.005747	8
130.070816	13	0.004981	23
130.070816	49	0.018774	5
130.070816	25	0.009579	7
130.070816	94	0.036015	1
130.070816	61	0.023372	1
130.070816	19	0.007280	11
130.070816	62	0.023755	2
130.070816	71	0.027203	5
130.070816	28	0.010728	4
130.070816	41	0.015709	2
130.070816	46	0.017625	1
130.070816	32	0.012261	2
130.070816	69	0.026437	1
130.070816	26	0.009962	3
130.070816	51	0.019540	1
140.071533	1	0.000344	515
140.071533	2	0.000688	272
140.071533	3	0.001031	175
140.071533	4	0.001375	124
140.071533	5	0.001719	101
140.071533	6	0.002063	77
140.071533	7	0.002406	69
140.071533	8	0.002750	60
140.071533	9	0.003094	60
140.071533	10	0.003438	34
140.071533	2909	1.000000	1
140.071533	686	0.235820	1
140.071533	251	0.086284	24
140.071533	767	0.263664	13
140.071533	435	0.149536	23
140.071533	1432	0.492265	1
140.071533	932	0.320385	8
140.071533	24	0.008250	22
140.071533	500	0.171880	11
140.071533	910	0.312822	1
140.071533	85	0.029220	7
140.071533	682	0.234445	4
140.071533	22	0.007563	35
140.071533	779	0.267790	1
140.071533	11	0.003781	57
140.071533	131	0.045033	2
140.071533	360	0.123754	4
