Generation	Size	Frequency	Count
190.075378	7	0.001229	45
190.075378	8	0.001405	33
190.075378	9	0.001581	15
190.075378	10	0.001756	14
190.075378	24	0.004215	2
190.075378	16	0.002810	6
190.075378	12	0.002107	6
190.075378	11	0.001932	12
190.075378	13	0.002283	6
190.075378	17	0.002986	3
190.075378	22	0.003864	2
190.075378	15	0.002634	7
190.075378	19	0.003337	3
190.075378	21	0.003688	1
190.075378	18	0.003161	2
190.075378	14	0.002459	2
190.075378	25	0.004391	1
200.076385	1	0.000150	1206
200.076385	2	0.000301	456
200.076385	3	0.000451	273
200.076385	4	0.000601	171
200.076385	5	0.000752	104
200.076385	6	0.000902	70
200.076385	7	0.001052	52
200.076385	8	0.001203	46
200.076385	9	0.001353	23
200.076385	10	0.001504	20
200.076385	17	0.002556	4
200.076385	11	0.001654	12
200.076385	26	0.003909	2
200.076385	16	0.002406	6
200.076385	29	0.004360	1
200.076385	21	0.003157	1
200.076385	18	0.002706	3
200.076385	12	0.001804	9
200.076385	14	0.002105	7
200.076385	13	0.001955	8
200.076385	19	0.002857	2
200.076385	22	0.003308	2
200.076385	20	0.003007	1
200.076385	15	0.002255	4
200.076385	27	0.004060	1
210.076874	1	0.000136	1305
210.076874	2	0.000273	567
210.076874	3	0.000409	325
210.076874	4	0.000545	185
210.076874	5	0.000682	107
210.076874	6	0.000818	87
210.076874	7	0.000955	48
210.076874	8	0.001091	42
210.076874	9	0.001227	31
210.076874	10	0.001364	22
210.076874	15	0.002046	7
210.076874	30	0.004091	1
210.076874	11	0.001500	8
210.076874	13	0.001773	10
210.076874	17	0.002318	4
210.076874	20	0.002727	4
210.076874	12	0.001636	11
210.076874	19	0.002591	3
210.076874	14	0.001909	9
210.076874	23	0.003137	2
210.076874	22	0.003000	1
210.076874	31	0.004227	1
210.076874	18	0.002455	2
220.077652	1	0.000121	1513
220.077652	2	0.000241	642
220.077652	3	0.000362	333
220.077652	4	0.000483	187
220.077652	5	0.000604	127
220.077652	6	0.000724	106
220.077652	7	0.000845	61
220.077652	8	0.000966	42
220.077652	9	0.001086	35
220.077652	10	0.001207	25
220.077652	20	0.002414	2
220.077652	11	0.001328	18
220.077652	23	0.002776	1
220.077652	14	0.001690	7
220.077652	16	0.001931	8
220.077652	13	0.001569	12
220.077652	25	0.003018	1
220.077652	18	0.002173	4
220.077652	12	0.001449	14
220.077652	21	0.002535	2
220.077652	15	0.001811	4
220.077652	19	0.002294	1
220.077652	28	0.003380	1
220.077652	40	0.004829	1
220.077652	27	0.003259	1
220.077652	17	0.002052	1
230.078384	1	0.000113	1561
230.078384	2	0.000226	631
230.078384	3	0.000338	367
230.078384	4	0.000451	212
230.078384	5	0.000564	144
230.078384	6	0.000677	116
230.078384	7	0.000790	77
230.078384	8	0.000902	50
230.078384	9	0.001015	32
230.078384	10	0.001128	23
230.078384	20	0.002256	2
230.078384	12	0.001353	14
230.078384	14	0.001579	10
230.078384	29	0.003271	1
230.078384	11	0.001241	28
230.078384	13	0.001466	10
230.078384	16	0.001805	3
230.078384	15	0.001692	6
230.078384	18	0.002030	3
230.078384	25	0.002820	1
230.078384	17	0.001917	4
230.078384	27	0.003045	1
230.078384	19	0.002143	3
230.078384	37	0.004173	1
240.078812	1	0.000107	1756
240.078812	2	0.000215	693
240.078812	3	0.000322	349
240.078812	4	0.000430	245
240.078812	5	0.000537	182
240.078812	6	0.000644	114
240.078812	7	0.000752	78
240.078812	8	0.000859	46
240.078812	9	0.000967	33
240.078812	10	0.001074	25
240.078812	13	0.001396	10
240.078812	11	0.001182	19
240.078812	22	0.002363	3
240.078812	17	0.001826	5
240.078812	16	0.001719	7
240.078812	12	0.001289	6
240.078812	26	0.002793	2
240.078812	14	0.001504	10
240.078812	18	0.001933	4
240.078812	15	0.001611	4
240.078812	21	0.002256	1
240.078812	19	0.002041	1
240.078812	24	0.002578	2
250.079330	1	0.000103	1838
250.079330	2	0.000206	733
250.079330	3	0.000309	387
250.079330	4	0.000411	245
250.079330	5	0.000514	161
250.079330	6	0.000617	116
250.079330	7	0.000720	77
250.079330	8	0.000823	49
250.079330	9	0.000926	49
250.079330	10	0.001028	24
250.079330	12	0.001234	12
250.079330	11	0.001131	19
250.079330	13	0.001337	10
250.079330	15	0.001543	7
250.079330	16	0.001645	3
250.079330	14	0.001440	10
250.079330	19	0.001954	5
250.079330	27	0.002777	1
250.079330	18	0.001851	4
250.079330	17	0.001748	3
250.079330	22	0.002262	2
250.079330	25	0.002571	1
250.079330	26	0.002674	1
250.079330	21	0.002160	1
250.079330	29	0.002982	1
254.222137	1	0.000100	1869
254.222137	2	0.000200	722
254.222137	3	0.000300	414
254.222137	4	0.000400	243
254.222137	5	0.000500	159
254.222137	6	0.000600	92
254.222137	7	0.000700	66
254.222137	8	0.000800	59
254.222137	9	0.000900	28
254.222137	10	0.001000	31
254.222137	16	0.001600	6
254.222137	11	0.001100	19
254.222137	14	0.001400	13
254.222137	12	0.001200	23
254.222137	26	0.002600	2
254.222137	13	0.001300	10
254.222137	18	0.001800	4
254.222137	17	0.001700	8
254.222137	22	0.002200	3
254.222137	15	0.001500	8
254.222137	28	0.002800	1
254.222137	25	0.002500	2
254.222137	19	0.001900	2
254.222137	24	0.002400	2
254.222137	21	0.002100	4
254.222137	23	0.002300	1
254.222137	20	0.002000	1
260.079651	1	0.000096	1938
260.079651	2	0.000191	827
260.079651	3	0.000287	435
260.079651	4	0.000383	261
260.079651	5	0.000478	180
260.079651	6	0.000574	104
260.079651	7	0.000669	85
260.079651	8	0.000765	60
260.079651	9	0.000861	39
260.079651	10	0.000956	34
260.079651	12	0.001148	10
260.079651	14	0.001339	14
260.079651	31	0.002965	1
260.079651	13	0.001243	7
260.079651	18	0.001721	5
260.079651	38	0.003634	1
260.079651	30	0.002869	1
260.079651	25	0.002391	1
260.079651	11	0.001052	15
260.079651	15	0.001434	4
260.079651	17	0.001626	4
260.079651	19	0.001817	4
260.079651	22	0.002104	2
260.079651	20	0.001913	4
260.079651	16	0.001530	7
270.079926	1	0.000088	2118
270.079926	2	0.000176	877
270.079926	3	0.000264	480
270.079926	4	0.000353	257
270.079926	5	0.000441	180
270.079926	6	0.000529	128
270.079926	7	0.000617	89
270.079926	8	0.000705	58
270.079926	9	0.000793	44
270.079926	10	0.000882	33
270.079926	15	0.001322	14
270.079926	11	0.000970	22
270.079926	12	0.001058	18
270.079926	16	0.001411	3
270.079926	26	0.002292	1
270.079926	14	0.001234	13
270.079926	22	0.001940	2
270.079926	17	0.001499	5
270.079926	13	0.001146	16
270.079926	18	0.001587	2
270.079926	27	0.002380	1
270.079926	20	0.001763	1
270.079926	25	0.002204	2
270.079926	24	0.002116	2
270.079926	19	0.001675	2
270.079926	21	0.001851	2
280.080292	1	0.000081	2267
280.080292	2	0.000162	934
280.080292	3	0.000243	487
280.080292	4	0.000324	286
280.080292	5	0.000405	193
280.080292	6	0.000487	150
280.080292	7	0.000568	101
280.080292	8	0.000649	69
280.080292	9	0.000730	45
280.080292	10	0.000811	30
280.080292	14	0.001135	16
280.080292	15	0.001216	4
280.080292	11	0.000892	22
280.080292	19	0.001541	6
280.080292	26	0.002109	2
280.080292	17	0.001379	11
280.080292	24	0.001946	1
280.080292	18	0.001460	7
280.080292	22	0.001784	5
280.080292	12	0.000973	16
280.080292	13	0.001054	14
280.080292	21	0.001703	1
280.080292	25	0.002027	3
280.080292	23	0.001865	3
280.080292	16	0.001298	4
280.080292	20	0.001622	1
290.080811	1	0.000074	2519
290.080811	2	0.000148	1061
290.080811	3	0.000222	516
290.080811	4	0.000295	324
290.080811	5	0.000369	228
290.080811	6	0.000443	153
290.080811	7	0.000517	104
290.080811	8	0.000591	77
290.080811	9	0.000665	46
290.080811	10	0.000738	35
290.080811	11	0.000812	35
290.080811	13	0.000960	23
290.080811	12	0.000886	23
290.080811	21	0.001551	7
290.080811	18	0.001329	4
290.080811	14	0.001034	13
290.080811	25	0.001846	1
290.080811	23	0.001698	1
290.080811	17	0.001255	5
290.080811	15	0.001108	10
290.080811	16	0.001181	7
290.080811	33	0.002437	1
290.080811	19	0.001403	2
290.080811	20	0.001477	2
290.080811	26	0.001920	1
300.081177	1	0.000068	2705
300.081177	2	0.000137	1119
300.081177	3	0.000205	600
300.081177	4	0.000273	395
300.081177	5	0.000342	223
300.081177	6	0.000410	161
300.081177	7	0.000479	113
300.081177	8	0.000547	79
300.081177	9	0.000615	57
300.081177	10	0.000684	42
300.081177	28	0.001914	1
300.081177	12	0.000820	18
300.081177	19	0.001299	3
300.081177	14	0.000957	18
300.081177	15	0.001026	9
300.081177	27	0.001846	1
300.081177	18	0.001231	3
300.081177	31	0.002119	2
300.081177	26	0.001778	2
300.081177	33	0.002256	1
300.081177	16	0.001094	8
300.081177	21	0.001436	2
300.081177	11	0.000752	25
300.081177	29	0.001983	1
300.081177	32	0.002188	1
300.081177	22	0.001504	1
300.081177	13	0.000889	17
300.081177	20	0.001367	3
300.081177	24	0.001641	1
300.081177	17	0.001162	3
300.081177	42	0.002871	1
300.081177	25	0.001709	1
302.949493	1	0.000067	2891
302.949493	2	0.000133	1142
302.949493	3	0.000200	643
302.949493	4	0.000267	369
302.949493	5	0.000333	239
302.949493	6	0.000400	152
302.949493	7	0.000467	104
302.949493	8	0.000533	66
302.949493	9	0.000600	56
302.949493	10	0.000667	45
302.949493	25	0.001667	2
302.949493	13	0.000867	17
302.949493	20	0.001333	7
302.949493	19	0.001267	5
302.949493	11	0.000733	28
302.949493	27	0.001800	1
