NumCells	NumSamples	CellsPerSample	SampleDepth	Generation	Identity	DriverIdentity	Parent	Population	BirthRate	MigrationRate	OriginTime	DriverMutations	MigrationMutations	PassengerMutations
2129	1	-1	-1	118.069267	0	0	0	2128	1.000000	0.001458	0.000000	0	0	0
2138	1	-1	-1	119.069275	0	0	0	2137	1.000000	0.001458	0.000000	0	0	0
2181	1	-1	-1	120.069542	0	0	0	2181	1.000000	0.001458	0.000000	0	0	0
2220	1	-1	-1	121.069649	0	0	0	2220	1.000000	0.001458	0.000000	0	0	0
2224	1	-1	-1	122.069687	0	0	0	2224	1.000000	0.001458	0.000000	0	0	0
2303	1	-1	-1	123.069771	0	0	0	2303	1.000000	0.001458	0.000000	0	0	0
2298	1	-1	-1	124.070038	0	0	0	2298	1.000000	0.001458	0.000000	0	0	0
2417	1	-1	-1	125.070084	0	0	0	2417	1.000000	0.001458	0.000000	0	0	0
2423	1	-1	-1	126.070145	0	0	0	2423	1.000000	0.001458	0.000000	0	0	0
2494	1	-1	-1	127.070312	0	0	0	2494	1.000000	0.001458	0.000000	0	0	0
2556	1	-1	-1	128.070496	0	0	0	2556	1.000000	0.001458	0.000000	0	0	0
2581	1	-1	-1	129.070572	0	0	0	2581	1.000000	0.001458	0.000000	0	0	0
2610	1	-1	-1	130.070816	0	0	0	2610	1.000000	0.001458	0.000000	0	0	0
2630	1	-1	-1	131.070923	0	0	0	2630	1.000000	0.001458	0.000000	0	0	0
2653	1	-1	-1	132.071014	0	0	0	2653	1.000000	0.001458	0.000000	0	0	0
2657	1	-1	-1	133.071045	0	0	0	2657	1.000000	0.001458	0.000000	0	0	0
2707	1	-1	-1	134.071075	0	0	0	2707	1.000000	0.001458	0.000000	0	0	0
2757	1	-1	-1	135.071198	0	0	0	2757	1.000000	0.001458	0.000000	0	0	0
2797	1	-1	-1	136.071259	0	0	0	2797	1.000000	0.001458	0.000000	0	0	0
2811	1	-1	-1	137.071411	0	0	0	2811	1.000000	0.001458	0.000000	0	0	0
2829	1	-1	-1	138.071472	0	0	0	2829	1.000000	0.001458	0.000000	0	0	0
2865	1	-1	-1	139.071518	0	0	0	2865	1.000000	0.001458	0.000000	0	0	0
2909	1	-1	-1	140.071533	0	0	0	2909	1.000000	0.001458	0.000000	0	0	0
2927	1	-1	-1	141.071793	0	0	0	2927	1.000000	0.001458	0.000000	0	0	0
2954	1	-1	-1	142.071838	0	0	0	2954	1.000000	0.001458	0.000000	0	0	0
2995	1	-1	-1	143.071869	0	0	0	2995	1.000000	0.001458	0.000000	0	0	0
2994	1	-1	-1	144.071915	0	0	0	2994	1.000000	0.001458	0.000000	0	0	0
3067	1	-1	-1	145.071930	0	0	0	3067	1.000000	0.001458	0.000000	0	0	0
3084	1	-1	-1	146.071945	0	0	0	3084	1.000000	0.001458	0.000000	0	0	0
3130	1	-1	-1	147.071945	0	0	0	3130	1.000000	0.001458	0.000000	0	0	0
3151	1	-1	-1	148.072052	0	0	0	3151	1.000000	0.001458	0.000000	0	0	0
3188	1	-1	-1	149.072083	0	0	0	3188	1.000000	0.001458	0.000000	0	0	0
3260	1	-1	-1	150.072098	0	0	0	3260	1.000000	0.001458	0.000000	0	0	0
3346	1	-1	-1	151.072128	0	0	0	3346	1.000000	0.001458	0.000000	0	0	0
3435	1	-1	-1	152.072510	0	0	0	3435	1.000000	0.001458	0.000000	0	0	0
3520	1	-1	-1	153.072632	0	0	0	3520	1.000000	0.001458	0.000000	0	0	0
3624	1	-1	-1	154.072769	0	0	0	3623	1.000000	0.001458	0.000000	0	0	0
3645	1	-1	-1	155.072861	0	0	0	3645	1.000000	0.001458	0.000000	0	0	0
3685	1	-1	-1	156.072891	0	0	0	3685	1.000000	0.001458	0.000000	0	0	0
3766	1	-1	-1	157.072952	0	0	0	3766	1.000000	0.001458	0.000000	0	0	0
3802	1	-1	-1	158.072968	0	0	0	3802	1.000000	0.001458	0.000000	0	0	0
3935	1	-1	-1	159.073013	0	0	0	3935	1.000000	0.001458	0.000000	0	0	0
3975	1	-1	-1	160.073410	0	0	0	3975	1.000000	0.001458	0.000000	0	0	0
4090	1	-1	-1	161.073425	0	0	0	4090	1.000000	0.001458	0.000000	0	0	0
4150	1	-1	-1	162.073471	0	0	0	4150	1.000000	0.001458	0.000000	0	0	0
4193	1	-1	-1	163.073563	0	0	0	4193	1.000000	0.001458	0.000000	0	0	0
4225	1	-1	-1	164.073578	0	0	0	4225	1.000000	0.001458	0.000000	0	0	0
4185	1	-1	-1	165.073624	0	0	0	4185	1.000000	0.001458	0.000000	0	0	0
4224	1	-1	-1	166.073669	0	0	0	4224	1.000000	0.001458	0.000000	0	0	0
4283	1	-1	-1	167.073883	0	0	0	4283	1.000000	0.001458	0.000000	0	0	0
4345	1	-1	-1	168.074066	0	0	0	4345	1.000000	0.001458	0.000000	0	0	0
4393	1	-1	-1	169.074158	0	0	0	4393	1.000000	0.001458	0.000000	0	0	0
4413	1	-1	-1	170.074203	0	0	0	4413	1.000000	0.001458	0.000000	0	0	0
4440	1	-1	-1	171.074310	0	0	0	4440	1.000000	0.001458	0.000000	0	0	0
4503	1	-1	-1	172.074387	0	0	0	4503	1.000000	0.001458	0.000000	0	0	0
4606	1	-1	-1	173.074615	0	0	0	4606	1.000000	0.001458	0.000000	0	0	0
4696	1	-1	-1	174.074615	0	0	0	4696	1.000000	0.001458	0.000000	0	0	0
4761	1	-1	-1	175.074631	0	0	0	4759	1.000000	0.001458	0.000000	0	0	0
4791	1	-1	-1	176.074722	0	0	0	4790	1.000000	0.001458	0.000000	0	0	0
4903	1	-1	-1	177.074753	0	0	0	4903	1.000000	0.001458	0.000000	0	0	0
5006	1	-1	-1	178.074799	0	0	0	5006	1.000000	0.001458	0.000000	0	0	0
5124	1	-1	-1	179.074890	0	0	0	5124	1.000000	0.001458	0.000000	0	0	0
5256	1	-1	-1	180.074905	0	0	0	5256	1.000000	0.001458	0.000000	0	0	0
5293	1	-1	-1	181.075165	0	0	0	5293	1.000000	0.001458	0.000000	0	0	0
5374	1	-1	-1	182.075180	0	0	0	5374	1.000000	0.001458	0.000000	0	0	0
5379	1	-1	-1	183.075195	0	0	0	5379	1.000000	0.001458	0.000000	0	0	0
5503	1	-1	-1	184.075211	0	0	0	5503	1.000000	0.001458	0.000000	0	0	0
5527	1	-1	-1	185.075226	0	0	0	5527	1.000000	0.001458	0.000000	0	0	0
5632	1	-1	-1	186.075256	0	0	0	5632	1.000000	0.001458	0.000000	0	0	0
5651	1	-1	-1	187.075287	0	0	0	5651	1.000000	0.001458	0.000000	0	0	0
5610	1	-1	-1	188.075302	0	0	0	5610	1.000000	0.001458	0.000000	0	0	0
5671	1	-1	-1	189.075317	0	0	0	5671	1.000000	0.001458	0.000000	0	0	0
5694	1	-1	-1	190.075378	0	0	0	5694	1.000000	0.001458	0.000000	0	0	0
5782	1	-1	-1	191.075485	0	0	0	5782	1.000000	0.001458	0.000000	0	0	0
5877	1	-1	-1	192.075516	0	0	0	5877	1.000000	0.001458	0.000000	0	0	0
5952	1	-1	-1	193.075989	0	0	0	5952	1.000000	0.001458	0.000000	0	0	0
