Generation	NumCells	TotalBirths	TotalDeaths	TotalMigrations	Passengers	Drivers	VarPassengers	VarDrivers	MeanBirthRate	MeanMigrationRate	VarBirthRate	VarMigRate	NumClones	NumGenotypes	NumDriverGenotypes	NumDemes	NumNon-EmptyDemes	MatrixColumns	DriverMatrixColumns	EverGenotypes	CellsWith0Drivers	CellsWith1Drivers	CellsWith2Drivers	CellsWith3Drivers	CellsWith4Drivers	CellsWith5Drivers	CellsWith6Drivers	CellsWith7Drivers	CellsWith8Drivers	CellsWith9Drivers	CellsWith10Drivers
150.084396	3830	162275	158446	236	30.257963	0.000000	24.234201	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	1436	1428	1	18	15	9845	2	30632	3830	0	0	0	0	0	0	0	0	0	0
151.084808	3888	166103	162216	241	30.273405	0.000000	23.278643	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	1477	1469	1	18	15	10073	2	31381	3888	0	0	0	0	0	0	0	0	0	0
152.084869	3913	169929	166017	245	30.422438	0.000000	23.308161	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	1497	1492	1	18	15	10308	2	32104	3913	0	0	0	0	0	0	0	0	0	0
153.084885	3901	173832	169932	252	30.620354	0.000000	22.559032	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	1514	1509	1	18	16	10549	2	32836	3901	0	0	0	0	0	0	0	0	0	0
154.084915	3995	177798	173804	259	30.679350	0.000000	22.530197	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	1542	1533	1	18	16	10796	2	33595	3995	0	0	0	0	0	0	0	0	0	0
155.084991	4052	181822	177771	263	30.889191	0.000000	23.084709	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	1543	1534	1	18	17	10998	2	34339	4052	0	0	0	0	0	0	0	0	0	0
156.085388	4095	185801	181707	267	31.093285	0.000000	21.886276	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	1559	1554	1	18	16	11230	2	35084	4095	0	0	0	0	0	0	0	0	0	0
157.085495	4167	189910	185744	276	31.293976	0.000000	21.598061	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	1605	1598	1	19	18	11511	2	35894	4167	0	0	0	0	0	0	0	0	0	0
158.085510	4307	194119	189813	282	31.530764	0.000000	21.923956	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	1639	1632	1	19	18	11761	2	36693	4307	0	0	0	0	0	0	0	0	0	0
159.085510	4345	198457	194113	292	31.768930	0.000000	20.811062	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	1651	1643	1	20	18	12010	2	37530	4345	0	0	0	0	0	0	0	0	0	0
160.085571	4399	202777	198379	299	31.932486	0.000000	20.868103	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	1646	1639	1	20	16	12235	2	38343	4399	0	0	0	0	0	0	0	0	0	0
161.085571	4455	207225	202771	303	32.098091	0.000000	21.102118	0.000000	1.000000e+00	1.457678e-03	0.000000e+00	0.000000e+00	1690	1683	1	21	17	12501	2	39155	4455	0	0	0	0	0	0	0	0	0	0
162.085724	4532	211724	207193	304	32.242275	0.000221	21.485844	0.000221	1.000031e+00	1.457678e-03	4.397764e-06	0.000000e+00	1703	1699	2	21	16	12761	2	40024	4531	1	0	0	0	0	0	0	0	0	0
