Population	Parent	Identity	DriverIdentity	DriverMutations	MigrationMutations	Immortal	PassengerMutations	BirthRate	MigrationRate	OriginTime	Descendants
454	159	2600	2600	4	0	1	0	2.834746	0.001458	598.712708	454
99	455	2662	2662	4	0	1	0	2.556190	0.001458	599.742065	99
878	126	2762	2762	3	0	1	0	2.882580	0.001458	601.446045	878
72	1652	2647	2647	6	0	1	0	6.294453	0.001458	599.415100	72
1637	1652	2689	2689	6	0	1	0	7.076224	0.001458	600.292908	1637
293	159	2698	2698	4	0	1	0	2.862686	0.001458	600.351318	293
155	126	2711	2711	3	0	1	0	2.685714	0.001458	600.550476	155
40	126	3007	3007	3	0	1	0	2.440795	0.001458	606.023010	40
43	1652	2721	2721	6	0	1	0	6.414909	0.001458	600.718994	43
4	126	2958	2958	3	0	1	0	2.317626	0.001458	605.170166	4
138	126	2730	2730	3	0	1	0	2.549825	0.001458	600.927612	138
327	1179	2731	2731	5	0	1	0	3.411381	0.001458	600.927979	327
2156	1384	2748	2748	5	0	1	0	4.899212	0.001458	601.095764	2156
44	1204	2996	2996	5	0	1	0	3.550865	0.001458	605.837708	44
1	126	2774	2774	3	0	1	0	2.530261	0.001458	601.767761	18
16	126	2912	2912	3	0	1	0	2.311620	0.001458	604.297058	16
38	159	2914	2914	4	0	1	0	2.520748	0.001458	604.366760	38
97	1688	2807	2807	6	0	1	0	4.488455	0.001458	602.356628	97
23	126	2810	2810	3	0	1	0	2.281842	0.001458	602.473328	23
12	126	2907	2907	3	0	1	0	2.313130	0.001458	604.164062	12
5	491	3221	3221	4	0	0	0	3.601478	0.001458	609.314636	5
271	1652	2944	2944	6	0	1	1	6.437862	0.001458	604.978638	271
286	1796	2890	2890	4	0	1	0	2.761024	0.001458	603.898193	286
67	1204	3012	3012	5	0	1	0	3.462742	0.001458	606.100891	67
88	1652	3038	3038	6	0	1	0	6.365180	0.001458	606.662842	88
54	126	3201	3201	3	0	1	0	2.708830	0.001458	609.071045	54
6	126	3019	3019	3	0	1	0	2.843015	0.001458	606.299866	6
73	1458	2935	2935	5	0	1	0	3.519049	0.001458	604.807617	73
1	1652	3421	3421	6	0	0	0	6.407844	0.001458	612.397827	1
13	126	3299	3299	3	0	1	0	2.491169	0.001458	610.575745	13
4	126	3412	3412	3	0	0	0	2.538185	0.001458	612.248291	4
54	1652	3039	3039	6	0	1	0	6.375984	0.001458	606.666809	54
17	2774	3151	3151	4	0	1	0	2.795205	0.001458	608.142029	17
8	159	3144	3144	4	0	1	0	2.362253	0.001458	608.103333	8
38	126	3133	3133	3	0	1	0	2.688873	0.001458	607.940979	38
24	126	3338	3338	3	0	1	0	2.882861	0.001458	611.299072	24
2	1179	3095	3095	5	0	1	0	3.246484	0.001458	607.362549	2
85	126	3051	3051	3	0	1	0	2.715442	0.001458	606.824036	85
1	1652	3422	3422	6	0	0	0	6.270123	0.001458	612.407227	1
2	126	3175	3175	3	0	1	0	2.465319	0.001458	608.470764	2
8	818	3337	3337	5	0	1	0	2.974914	0.001458	611.283264	8
67	1652	3189	3189	6	0	1	0	7.063835	0.001458	608.786804	67
18	159	3214	3214	4	0	1	1	2.593104	0.001458	609.212646	18
73	588	3066	3066	5	0	1	0	2.889264	0.001458	607.007446	73
63	126	3216	3216	3	0	1	0	2.883039	0.001458	609.228455	63
19	25	3068	3068	2	0	1	0	1.564822	0.001458	607.027832	19
6	1204	3314	3314	5	0	0	0	3.561749	0.001458	610.773499	6
15	1204	3322	3322	5	0	1	0	3.259341	0.001458	611.005554	15
2	1204	3417	3417	5	0	0	0	3.659324	0.001458	612.304138	2
4	1937	3241	3241	4	0	1	0	2.899867	0.001458	609.610107	4
3	1652	3210	3210	6	0	1	0	6.282131	0.001458	609.182373	3
228	911	3190	3190	5	0	1	0	3.452823	0.001458	608.809326	228
148	1688	3185	3185	6	0	1	0	5.054557	0.001458	608.734070	148
2	455	3368	3368	4	0	0	0	2.766678	0.001458	611.766235	2
2	1652	3313	3313	6	0	0	0	6.457680	0.001458	610.771484	2
21	1652	3233	3233	6	0	1	0	6.420928	0.001458	609.478821	21
1	588	3423	3423	5	0	0	0	2.846960	0.001458	612.418701	1
2	1652	3426	3426	6	0	0	0	6.333260	0.001458	612.514160	2
33	1652	3237	3237	6	0	1	0	6.386196	0.001458	609.531311	33
6	1688	3300	3300	6	0	1	0	4.352029	0.001458	610.591431	6
1	1589	3353	3353	4	0	0	1	2.748391	0.001458	611.582581	1
1	159	3392	3392	4	0	0	0	2.368524	0.001458	612.018677	1
7	1688	3341	3341	6	0	1	0	4.549882	0.001458	611.384644	7
1	126	3425	3425	3	0	0	0	2.383398	0.001458	612.483093	1
3	940	3354	3354	5	0	0	0	2.996720	0.001458	611.584595	3
3	159	3342	3342	4	0	0	0	2.660788	0.001458	611.403442	3
3	126	3355	3355	3	0	0	0	2.281264	0.001458	611.586792	3
15	818	3276	3276	5	0	1	1	3.181190	0.001458	610.128357	15
22	491	3325	3325	4	0	1	0	3.723174	0.001458	611.078796	22
9	126	3359	3359	3	0	0	1	2.576125	0.001458	611.684082	9
1	1804	3424	3424	6	0	0	0	3.566095	0.001458	612.442932	1
7	588	3362	3362	5	0	1	0	3.087976	0.001458	611.692932	7
6	1652	3366	3366	6	0	1	0	6.380799	0.001458	611.750549	6
4	1528	3394	3394	4	0	0	0	2.588734	0.001458	612.053528	4
1	1204	3372	3372	5	0	0	0	3.508521	0.001458	611.804626	1
4	1589	3418	3418	4	0	0	0	3.286464	0.001458	612.326599	4
5	1652	3375	3375	6	0	0	1	6.379184	0.001458	611.846619	5
4	1652	3383	3383	6	0	0	0	6.570771	0.001458	611.962708	4
3	1652	3400	3400	6	0	0	0	6.319993	0.001458	612.127258	3
1	455	3411	3411	4	0	0	0	2.513555	0.001458	612.224060	1
7	1652	3386	3386	6	0	0	0	6.278594	0.001458	611.974548	7
7	1652	3387	3387	6	0	0	0	6.295098	0.001458	611.979492	7
3	1652	3393	3393	6	0	0	0	6.275033	0.001458	612.050598	3
3	1652	3414	3414	6	0	0	0	6.880576	0.001458	612.256226	3
4	1652	3405	3405	6	0	0	0	7.175009	0.001458	612.140503	4
