Generation	NumSamples	Depth	TargetSampleSize	ActualSampleSize
90.064407	1	8	100	100
90.064407	1	9	100	100
90.064407	1	10	100	100
90.064407	1	0	1000	90
90.064407	1	1	1000	134
90.064407	1	2	1000	183
90.064407	1	3	1000	255
90.064407	1	4	1000	336
90.064407	1	5	1000	404
90.064407	1	6	1000	451
90.064407	1	7	1000	585
90.064407	1	8	1000	606
90.064407	1	9	1000	617
90.064407	1	10	1000	617
90.064407	2	0	200	43
90.064407	2	1	200	43
90.064407	2	2	200	43
90.064407	2	3	200	52
90.064407	2	4	200	86
90.064407	2	5	200	132
90.064407	2	6	200	177
90.064407	2	7	200	196
90.064407	2	8	200	200
90.064407	2	9	200	200
90.064407	2	10	200	200
90.064407	2	0	2000	203
90.064407	2	1	2000	286
90.064407	2	2	2000	383
90.064407	2	3	2000	516
90.064407	2	4	2000	672
90.064407	2	5	2000	809
90.064407	2	6	2000	905
90.064407	2	7	2000	1077
90.064407	2	8	2000	1220
90.064407	2	9	2000	1234
90.064407	2	10	2000	1234
90.064407	4	0	400	108
90.064407	4	1	400	108
90.064407	4	2	400	108
90.064407	4	3	400	123
90.064407	4	4	400	196
90.064407	4	5	400	288
90.064407	4	6	400	359
90.064407	4	7	400	389
90.064407	4	8	400	400
90.064407	4	9	400	400
90.064407	4	10	400	400
90.064407	4	0	4000	424
90.064407	4	1	4000	594
90.064407	4	2	4000	784
90.064407	4	3	4000	1051
90.064407	4	4	4000	1338
90.064407	4	5	4000	1600
90.064407	4	6	4000	1789
90.064407	4	7	4000	2030
90.064407	4	8	4000	2416
90.064407	4	9	4000	2468
90.064407	4	10	4000	2468
100.068428	1	0	100	24
100.068428	1	1	100	24
100.068428	1	2	100	24
100.068428	1	3	100	32
100.068428	1	4	100	53
100.068428	1	5	100	80
100.068428	1	6	100	95
100.068428	1	7	100	100
100.068428	1	8	100	100
100.068428	1	9	100	100
100.068428	1	10	100	100
100.068428	1	0	1000	103
100.068428	1	1	1000	149
100.068428	1	2	1000	203
100.068428	1	3	1000	281
100.068428	1	4	1000	365
100.068428	1	5	1000	447
100.068428	1	6	1000	507
100.068428	1	7	1000	649
100.068428	1	8	1000	683
100.068428	1	9	1000	725
100.068428	1	10	1000	743
100.068428	2	0	200	114
100.068428	2	1	200	114
100.068428	2	2	200	114
100.068428	2	3	200	123
100.068428	2	4	200	147
100.068428	2	5	200	168
100.068428	2	6	200	183
100.068428	2	7	200	192
100.068428	2	8	200	199
100.068428	2	9	200	200
100.068428	2	10	200	200
100.068428	2	0	2000	273
100.068428	2	1	2000	358
100.068428	2	2	2000	455
100.068428	2	3	2000	587
100.068428	2	4	2000	741
100.068428	2	5	2000	895
100.068428	2	6	2000	1022
100.068428	2	7	2000	1216
100.068428	2	8	2000	1391
100.068428	2	9	2000	1458
100.068428	2	10	2000	1486
100.068428	4	0	400	246
100.068428	4	1	400	246
100.068428	4	2	400	246
100.068428	4	3	400	264
100.068428	4	4	400	307
100.068428	4	5	400	348
100.068428	4	6	400	370
100.068428	4	7	400	389
100.068428	4	8	400	400
100.068428	4	9	400	400
100.068428	4	10	400	400
100.068428	4	0	4000	563
100.068428	4	1	4000	733
100.068428	4	2	4000	924
100.068428	4	3	4000	1192
100.068428	4	4	4000	1500
100.068428	4	5	4000	1787
100.068428	4	6	4000	2033
100.068428	4	7	4000	2421
100.068428	4	8	4000	2767
100.068428	4	9	4000	2903
100.068428	4	10	4000	2977
110.071037	1	0	100	20
110.071037	1	1	100	20
110.071037	1	2	100	20
110.071037	1	3	100	32
110.071037	1	4	100	58
110.071037	1	5	100	87
110.071037	1	6	100	99
110.071037	1	7	100	100
110.071037	1	8	100	100
110.071037	1	9	100	100
110.071037	1	10	100	100
110.071037	1	0	1000	99
110.071037	1	1	1000	150
110.071037	1	2	1000	211
110.071037	1	3	1000	299
110.071037	1	4	1000	391
110.071037	1	5	1000	478
110.071037	1	6	1000	531
110.071037	1	7	1000	672
110.071037	1	8	1000	715
110.071037	1	9	1000	761
110.071037	1	10	1000	809
110.071037	2	0	200	120
110.071037	2	1	200	120
110.071037	2	2	200	120
110.071037	2	3	200	133
110.071037	2	4	200	154
110.071037	2	5	200	178
110.071037	2	6	200	188
110.071037	2	7	200	191
110.071037	2	8	200	194
110.071037	2	9	200	199
110.071037	2	10	200	200
110.071037	2	0	2000	381
110.071037	2	1	2000	467
110.071037	2	2	2000	565
110.071037	2	3	2000	699
110.071037	2	4	2000	851
110.071037	2	5	2000	1002
110.071037	2	6	2000	1120
110.071037	2	7	2000	1323
110.071037	2	8	2000	1409
110.071037	2	9	2000	1586
110.071037	2	10	2000	1616
110.071037	4	0	400	266
110.071037	4	1	400	266
110.071037	4	2	400	266
110.071037	4	3	400	292
110.071037	4	4	400	333
110.071037	4	5	400	362
110.071037	4	6	400	377
110.071037	4	7	400	380
110.071037	4	8	400	390
110.071037	4	9	400	399
110.071037	4	10	400	400
110.071037	4	0	4000	811
110.071037	4	1	4000	979
110.071037	4	2	4000	1178
110.071037	4	3	4000	1446
110.071037	4	4	4000	1736
110.071037	4	5	4000	2021
110.071037	4	6	4000	2245
110.071037	4	7	4000	2639
110.071037	4	8	4000	2814
110.071037	4	9	4000	3146
110.071037	4	10	4000	3181
120.073700	1	0	100	100
120.073700	1	1	100	100
120.073700	1	2	100	100
120.073700	1	3	100	93
120.073700	1	4	100	89
120.073700	1	5	100	93
120.073700	1	6	100	100
120.073700	1	7	100	100
120.073700	1	8	100	100
120.073700	1	9	100	100
120.073700	1	10	100	100
120.073700	1	0	1000	205
120.073700	1	1	1000	257
120.073700	1	2	1000	321
120.073700	1	3	1000	411
120.073700	1	4	1000	507
120.073700	1	5	1000	597
120.073700	1	6	1000	769
120.073700	1	7	1000	814
120.073700	1	8	1000	828
120.073700	1	9	1000	829
120.073700	1	10	1000	838
120.073700	2	0	200	200
120.073700	2	1	200	200
120.073700	2	2	200	200
120.073700	2	3	200	193
120.073700	2	4	200	186
120.073700	2	5	200	183
120.073700	2	6	200	189
120.073700	2	7	200	191
120.073700	2	8	200	192
120.073700	2	9	200	198
120.073700	2	10	200	200
120.073700	2	0	2000	736
120.073700	2	1	2000	821
120.073700	2	2	2000	922
120.073700	2	3	2000	1054
120.073700	2	4	2000	1158
120.073700	2	5	2000	1278
120.073700	2	6	2000	1478
120.073700	2	7	2000	1542
120.073700	2	8	2000	1573
120.073700	2	9	2000	1577
120.073700	2	10	2000	1679
120.073700	4	0	400	400
120.073700	4	1	400	400
120.073700	4	2	400	400
120.073700	4	3	400	387
120.073700	4	4	400	370
120.073700	4	5	400	363
120.073700	4	6	400	373
120.073700	4	7	400	383
120.073700	4	8	400	391
120.073700	4	9	400	398
120.073700	4	10	400	400
120.073700	4	0	4000	1345
120.073700	4	1	4000	1516
120.073700	4	2	4000	1711
120.073700	4	3	4000	1977
120.073700	4	4	4000	2233
120.073700	4	5	4000	2516
120.073700	4	6	4000	2859
120.073700	4	7	4000	3092
120.073700	4	8	4000	3253
120.073700	4	9	4000	3242
120.073700	4	10	4000	3341
130.074921	1	0	100	100
130.074921	1	1	100	100
130.074921	1	2	100	100
130.074921	1	3	100	95
130.074921	1	4	100	89
130.074921	1	5	100	91
130.074921	1	6	100	95
130.074921	1	7	100	100
130.074921	1	8	100	100
130.074921	1	9	100	100
130.074921	1	10	100	100
130.074921	1	0	1000	373
130.074921	1	1	1000	420
130.074921	1	2	1000	476
130.074921	1	3	1000	555
130.074921	1	4	1000	643
130.074921	1	5	1000	725
130.074921	1	6	1000	743
130.074921	1	7	1000	840
130.074921	1	8	1000	832
130.074921	1	9	1000	829
130.074921	1	10	1000	829
130.074921	2	0	200	200
130.074921	2	1	200	200
130.074921	2	2	200	200
130.074921	2	3	200	194
130.074921	2	4	200	183
130.074921	2	5	200	182
130.074921	2	6	200	184
130.074921	2	7	200	192
130.074921	2	8	200	198
130.074921	2	9	200	200
130.074921	2	10	200	200
130.074921	2	0	2000	969
130.074921	2	1	2000	1054
130.074921	2	2	2000	1151
130.074921	2	3	2000	1285
130.074921	2	4	2000	1322
130.074921	2	5	2000	1438
130.074921	2	6	2000	1482
130.074921	2	7	2000	1596
130.074921	2	8	2000	1694
130.074921	2	9	2000	1665
130.074921	2	10	2000	1660
130.074921	4	0	400	400
130.074921	4	1	400	400
130.074921	4	2	400	400
130.074921	4	3	400	389
130.074921	4	4	400	367
130.074921	4	5	400	360
130.074921	4	6	400	368
130.074921	4	7	400	387
130.074921	4	8	400	398
130.074921	4	9	400	400
130.074921	4	10	400	400
130.074921	4	0	4000	1846
130.074921	4	1	4000	2016
130.074921	4	2	4000	2208
130.074921	4	3	4000	2475
130.074921	4	4	4000	2626
130.074921	4	5	4000	2856
130.074921	4	6	4000	2967
130.074921	4	7	4000	3193
130.074921	4	8	4000	3372
130.074921	4	9	4000	3328
130.074921	4	10	4000	3323
140.076202	1	0	100	100
140.076202	1	1	100	100
140.076202	1	2	100	100
140.076202	1	3	100	96
140.076202	1	4	100	90
140.076202	1	5	100	90
140.076202	1	6	100	93
140.076202	1	7	100	100
140.076202	1	8	100	100
140.076202	1	9	100	100
140.076202	1	10	100	100
140.076202	1	0	1000	546
140.076202	1	1	1000	592
140.076202	1	2	1000	644
140.076202	1	3	1000	667
140.076202	1	4	1000	709
140.076202	1	5	1000	741
140.076202	1	6	1000	759
140.076202	1	7	1000	848
140.076202	1	8	1000	832
140.076202	1	9	1000	830
140.076202	1	10	1000	829
140.076202	2	0	200	126
140.076202	2	1	200	126
140.076202	2	2	200	145
140.076202	2	3	200	186
140.076202	2	4	200	190
140.076202	2	5	200	190
140.076202	2	6	200	194
140.076202	2	7	200	194
140.076202	2	8	200	190
140.076202	2	9	200	201
140.076202	2	10	200	200
140.076202	2	0	2000	651
140.076202	2	1	2000	781
140.076202	2	2	2000	973
140.076202	2	3	2000	1127
140.076202	2	4	2000	1331
140.076202	2	5	2000	1420
140.076202	2	6	2000	1519
140.076202	2	7	2000	1586
140.076202	2	8	2000	1616
140.076202	2	9	2000	1685
140.076202	2	10	2000	1660
140.076202	4	0	400	130
140.076202	4	1	400	130
140.076202	4	2	400	191
140.076202	4	3	400	331
140.076202	4	4	400	390
140.076202	4	5	400	389
140.076202	4	6	400	394
140.076202	4	7	400	379
140.076202	4	8	400	373
140.076202	4	9	400	399
140.076202	4	10	400	400
140.076202	4	0	4000	814
140.076202	4	1	4000	1123
140.076202	4	2	4000	1577
140.076202	4	3	4000	1959
140.076202	4	4	4000	2373
140.076202	4	5	4000	2592
140.076202	4	6	4000	2875
140.076202	4	7	4000	3042
140.076202	4	8	4000	3150
140.076202	4	9	4000	3361
140.076202	4	10	4000	3316
150.077209	1	0	100	4
150.077209	1	1	100	4
150.077209	1	2	100	30
150.077209	1	3	100	81
150.077209	1	4	100	100
150.077209	1	5	100	100
150.077209	1	6	100	100
150.077209	1	7	100	90
150.077209	1	8	100	95
150.077209	1	9	100	100
150.077209	1	10	100	100
150.077209	1	0	1000	83
150.077209	1	1	1000	177
150.077209	1	2	1000	308
150.077209	1	3	1000	409
150.077209	1	4	1000	542
150.077209	1	5	1000	617
150.077209	1	6	1000	722
150.077209	1	7	1000	727
150.077209	1	8	1000	768
150.077209	1	9	1000	832
150.077209	1	10	1000	831
150.077209	2	0	200	55
150.077209	2	1	200	55
150.077209	2	2	200	98
150.077209	2	3	200	171
150.077209	2	4	200	200
150.077209	2	5	200	200
150.077209	2	6	200	200
