Generation	NumCells	TotalBirths	TotalDeaths	TotalMigrations	Passengers	Drivers	VarPassengers	VarDrivers	MeanBirthRate	MeanMigrationRate	VarBirthRate	VarMigRate	NumClones	NumGenotypes	NumDriverGenotypes	NumDemes	NumNon-EmptyDemes	MatrixColumns	DriverMatrixColumns	EverGenotypes	CellsWith0Drivers	CellsWith1Drivers	CellsWith2Drivers	CellsWith3Drivers	CellsWith4Drivers	CellsWith5Drivers	CellsWith6Drivers	CellsWith7Drivers	CellsWith8Drivers	CellsWith9Drivers	CellsWith10Drivers
216.077042	7868	514571	506704	773	46.742756	0.026309	54.296860	0.025616	1.005427e+00	1.457678e-03	1.090032e-03	0.000000e+00	2995	2981	2	29	22	30733	3	97763	7661	207	0	0	0	0	0	0	0	0	0
217.077316	7944	522590	514647	784	46.868328	0.027316	54.901749	0.026571	1.005635e+00	1.457678e-03	1.130567e-03	0.000000e+00	3041	3027	2	30	23	31223	3	99263	7727	217	0	0	0	0	0	0	0	0	0
218.077347	8120	530655	522536	797	46.983006	0.029310	55.242508	0.028451	1.006046e+00	1.457678e-03	1.210597e-03	0.000000e+00	3080	3064	2	32	24	31661	3	100719	7882	238	0	0	0	0	0	0	0	0	0
219.077347	8212	538861	530650	806	47.120800	0.033975	56.602543	0.032821	1.007008e+00	1.457678e-03	1.396578e-03	0.000000e+00	3148	3137	2	32	22	32161	3	102305	7933	279	0	0	0	0	0	0	0	0	0
220.077652	8284	547359	539076	813	47.458958	0.035852	56.852192	0.034566	1.007395e+00	1.457678e-03	1.470797e-03	0.000000e+00	3158	3149	2	32	21	32643	3	103917	7987	297	0	0	0	0	0	0	0	0	0
221.077820	8357	555539	547183	825	47.696182	0.037334	57.577896	0.035941	1.007701e+00	1.457678e-03	1.529232e-03	0.000000e+00	3189	3177	2	32	23	33130	3	105489	8045	312	0	0	0	0	0	0	0	0	0
222.077820	8376	564053	555678	843	47.894939	0.037846	57.699196	0.036414	1.007807e+00	1.457678e-03	1.549451e-03	0.000000e+00	3194	3175	2	33	25	33578	3	107083	8059	317	0	0	0	0	0	0	0	0	0
223.077850	8453	572581	564129	860	48.054657	0.040577	58.128899	0.038931	1.008370e+00	1.457678e-03	1.656459e-03	0.000000e+00	3278	3258	2	33	24	34109	3	108710	8110	343	0	0	0	0	0	0	0	0	0
224.078018	8485	581226	572742	867	48.276608	0.045610	58.011543	0.043764	1.009394e+00	1.457678e-03	1.852309e-03	0.000000e+00	3259	3244	3	33	23	34591	3	110365	8099	385	1	0	0	0	0	0	0	0	0
225.078018	8574	589949	581376	883	48.292397	0.047936	57.998566	0.046571	1.009830e+00	1.457678e-03	1.942149e-03	0.000000e+00	3283	3267	3	33	24	35090	3	112016	8167	403	4	0	0	0	0	0	0	0	0
