Population	Parent	Identity	DriverIdentity	DriverMutations	MigrationMutations	Immortal	PassengerMutations	BirthRate	MigrationRate	OriginTime	Descendants
9	105	3638	3638	3	0	1	0	1.968168	0.001458	663.666321	9
96	2217	3775	3775	6	0	1	1	4.624056	0.001458	666.292175	96
1	39	4012	4012	3	0	0	0	1.602950	0.001458	670.649536	1
30	1077	3808	3808	7	0	1	1	3.629970	0.001458	667.094421	30
40	1693	3785	3785	7	0	1	1	3.759606	0.001458	666.509521	40
37	105	3614	3614	3	0	1	0	1.951279	0.001458	663.137634	37
1	287	4019	4019	5	0	0	1	2.545457	0.001458	670.755188	1
55	1334	3837	3837	7	0	1	2	3.894114	0.001458	667.642822	55
8	39	3617	3617	3	0	1	0	1.656746	0.001458	663.171570	8
1	1749	3915	3915	7	0	1	2	5.472966	0.001458	669.104004	1
2	39	3963	3963	3	0	0	0	1.761443	0.001458	669.939819	2
21	483	3651	3651	6	0	1	1	3.008570	0.001458	663.823853	21
7	1077	3876	3876	7	0	1	1	4.426386	0.001458	668.417419	7
424	483	3679	3679	6	0	1	2	4.135458	0.001458	664.407471	424
12	105	3756	3756	3	0	1	0	1.774438	0.001458	665.955383	12
4	339	3962	3962	6	0	0	2	2.831940	0.001458	669.935242	4
2	39	3981	3981	3	0	0	0	1.588339	0.001458	670.212219	2
6	1959	3971	3971	7	0	0	1	3.800317	0.001458	670.040344	6
70	1077	3690	3690	7	0	1	1	3.726724	0.001458	664.571594	70
4	1749	3967	3967	7	0	0	1	4.084662	0.001458	669.961121	4
2	287	3960	3960	5	0	0	1	2.524184	0.001458	669.839478	2
103	2733	3741	3741	6	0	1	1	3.629116	0.001458	665.640076	103
1	1077	3703	3703	7	0	1	1	3.625223	0.001458	664.829041	1
24	2794	3710	3710	7	0	1	1	3.992604	0.001458	664.974731	24
2	105	3978	3978	3	0	0	0	2.008838	0.001458	670.168579	2
55	1693	3918	3918	7	0	1	2	4.055890	0.001458	669.148315	55
4	483	3854	3854	6	0	1	1	3.016902	0.001458	667.908997	4
3	1077	3894	3894	7	0	0	2	3.955460	0.001458	668.659912	3
1	1351	4005	4005	7	0	0	2	4.156723	0.001458	670.532654	1
1	287	3989	3989	5	0	0	2	2.674664	0.001458	670.273682	1
