Generation	NumCells	TotalBirths	TotalDeaths	TotalMigrations	Passengers	Drivers	VarPassengers	VarDrivers	MeanBirthRate	MeanMigrationRate	VarBirthRate	VarMigRate	NumClones	NumGenotypes	NumDriverGenotypes	NumDemes	NumNon-EmptyDemes	MatrixColumns	DriverMatrixColumns	EverGenotypes	CellsWith0Drivers	CellsWith1Drivers	CellsWith2Drivers	CellsWith3Drivers	CellsWith4Drivers	CellsWith5Drivers	CellsWith6Drivers	CellsWith7Drivers	CellsWith8Drivers	CellsWith9Drivers	CellsWith10Drivers
475.088226	55515	6703998	6648484	9672	105.282318	1.127011	66.653732	0.687477	1.602231e+00	1.457678e-03	3.803961e-01	0.000000e+00	21308	21230	18	147	131	391314	29	1275044	15976	16543	22965	31	0	0	0	0	0	0	0
476.088226	56673	6794800	6738128	9806	105.713356	1.151465	66.562859	0.689621	1.624325e+00	1.457678e-03	3.854408e-01	0.000000e+00	21780	21686	15	149	137	396769	29	1292473	15862	16403	24370	38	0	0	0	0	0	0	0
477.088226	57505	6887959	6830455	9942	106.129395	1.177254	65.786659	0.691597	1.646727e+00	1.457678e-03	3.894775e-01	0.000000e+00	22006	21901	15	151	141	402154	29	1310250	15618	16150	25663	74	0	0	0	0	0	0	0
478.088226	58217	6984482	6926266	10084	106.548569	1.207311	63.975262	0.696879	1.673198e+00	1.457678e-03	3.938063e-01	0.000000e+00	22289	22179	15	153	140	407675	29	1328591	15336	15641	27075	165	0	0	0	0	0	0	0
479.088226	58771	7082950	7024180	10241	106.978325	1.233500	63.626839	0.703041	1.697805e+00	1.457678e-03	3.966372e-01	0.000000e+00	22758	22636	16	153	142	413586	29	1347653	15165	14953	28418	235	0	0	0	0	0	0	0
480.088226	59452	7183956	7124505	10390	107.504692	1.267073	63.696117	0.700726	1.726749e+00	1.457678e-03	3.973708e-01	0.000000e+00	22774	22649	16	155	144	419277	29	1366880	14744	14350	30094	264	0	0	0	0	0	0	0
481.088226	60389	7288456	7228068	10556	108.085609	1.304294	63.102673	0.695133	1.757778e+00	1.457678e-03	3.968285e-01	0.000000e+00	23088	22976	17	158	147	425276	29	1386942	14242	13881	31914	352	0	0	0	0	0	0	0
482.088226	61038	7396341	7335304	10692	108.665062	1.344015	63.168461	0.688164	1.790648e+00	1.457678e-03	3.942885e-01	0.000000e+00	23486	23367	17	159	150	431612	29	1407486	13626	13280	33640	492	0	0	0	0	0	0	0
483.088226	61770	7507731	7445962	10874	109.179535	1.378452	63.159130	0.682367	1.819767e+00	1.457678e-03	3.896461e-01	0.000000e+00	23658	23532	15	161	150	437913	29	1428616	13170	12691	35271	638	0	0	0	0	0	0	0
484.088257	62680	7622302	7559623	11043	109.641876	1.413928	62.994549	0.677320	1.848733e+00	1.457678e-03	3.839293e-01	0.000000e+00	24191	24066	14	162	152	444733	29	1450521	12766	12058	37001	855	0	0	0	0	0	0	0
485.088257	63990	7739862	7675873	11211	110.208878	1.449695	62.995186	0.661113	1.876844e+00	1.457678e-03	3.754572e-01	0.000000e+00	24416	24310	12	164	152	451534	29	1472946	12253	11685	39075	977	0	0	0	0	0	0	0
486.088257	65410	7861909	7796500	11400	110.844093	1.485369	63.272575	0.643895	1.904882e+00	1.457678e-03	3.657830e-01	0.000000e+00	25165	25028	13	169	157	458893	29	1496347	11765	11253	41271	1121	0	0	0	0	0	0	0
487.088257	66743	7989665	7922923	11593	111.517075	1.523950	62.651966	0.621288	1.935397e+00	1.457678e-03	3.531953e-01	0.000000e+00	25403	25285	12	169	156	466171	29	1520407	11154	10721	43612	1256	0	0	0	0	0	0	0
488.088257	67983	8121169	8053187	11800	112.111542	1.561008	62.586830	0.599605	1.963313e+00	1.457678e-03	3.402203e-01	0.000000e+00	26023	25891	12	172	160	473973	29	1545510	10516	10307	45665	1495	0	0	0	0	0	0	0
489.088257	69203	8256512	8187310	11993	112.797829	1.602315	63.209064	0.569777	1.993333e+00	1.457678e-03	3.239527e-01	0.000000e+00	26328	26203	13	176	165	481782	29	1571143	9688	9886	47890	1737	2	0	0	0	0	0	0
490.088257	70535	8396520	8325986	12197	113.503677	1.641100	62.534832	0.542523	2.022492e+00	1.457678e-03	3.068824e-01	0.000000e+00	26922	26795	13	179	166	489939	30	1597628	9001	9329	50190	2014	1	0	0	0	0	0	0
491.088257	72124	8541371	8469248	12403	114.111763	1.678304	62.645535	0.518021	2.049923e+00	1.457678e-03	2.902031e-01	0.000000e+00	27479	27354	13	180	167	498504	30	1625209	8402	8805	52517	2393	7	0	0	0	0	0	0
492.088257	74014	8693140	8619127	12621	114.840668	1.717851	62.399452	0.482190	2.080209e+00	1.457678e-03	2.695343e-01	0.000000e+00	28175	28033	13	185	169	507460	30	1654162	7646	8278	55418	2657	15	0	0	0	0	0	0
493.088257	76045	8850516	8774472	12859	115.506332	1.758906	61.313110	0.444820	2.110851e+00	1.457678e-03	2.473513e-01	0.000000e+00	28829	28686	14	190	176	516700	30	1683986	6836	7731	58456	2975	47	0	0	0	0	0	0
494.088257	77556	9013436	8935881	13143	116.229111	1.793659	60.399143	0.411273	2.136982e+00	1.457678e-03	2.285333e-01	0.000000e+00	29725	29585	13	195	178	526474	30	1715122	6068	7289	60882	3212	105	0	0	0	0	0	0
495.088257	78959	9181114	9102156	13371	116.949394	1.824808	59.132549	0.380924	2.160020e+00	1.457678e-03	2.111406e-01	0.000000e+00	30236	30095	12	196	177	535936	30	1746822	5371	6888	63068	3467	165	0	0	0	0	0	0
496.088287	80778	9354902	9274125	13606	117.675232	1.858229	57.971359	0.356151	2.183674e+00	1.457678e-03	1.941646e-01	0.000000e+00	30794	30654	12	199	184	546215	31	1779862	4724	6455	65445	3857	297	0	0	0	0	0	0
497.088287	82965	9534333	9451369	13861	118.401184	1.888170	56.042759	0.333084	2.204790e+00	1.457678e-03	1.778404e-01	0.000000e+00	31844	31688	17	204	189	556874	33	1814300	4159	6078	68033	4272	423	0	0	0	0	0	0
498.088287	84872	9719955	9635084	14146	119.052315	1.912409	53.977184	0.306621	2.223029e+00	1.457678e-03	1.617819e-01	0.000000e+00	32471	32296	14	206	193	567629	33	1849542	3622	5715	70481	4583	471	0	0	0	0	0	0
499.088287	86698	9911837	9825140	14403	119.727798	1.933885	51.384968	0.280807	2.240017e+00	1.457678e-03	1.462069e-01	0.000000e+00	33289	33137	14	211	198	578926	34	1886142	3141	5292	72940	4808	517	0	0	0	0	0	0
500.088287	88816	10109249	10020434	14706	120.371964	1.952790	50.076569	0.266169	2.253595e+00	1.457678e-03	1.356070e-01	0.000000e+00	34042	33878	13	217	207	590556	34	1923951	2777	5064	75173	5179	623	0	0	0	0	0	0
501.088287	90841	10312370	10221530	14992	120.979546	1.971896	48.899788	0.256270	2.266792e+00	1.457678e-03	1.253355e-01	0.000000e+00	34766	34609	12	220	209	602469	34	1962765	2503	4742	77105	5787	704	0	0	0	0	0	0
