Generation	NumCells	DriverDiversity	DriverEdgeDiversity	DriverAlphaDiversity	DriverDiversityFrom1SamplesAtDepth0	DriverDiversityFrom1SamplesAtDepth1	DriverDiversityFrom1SamplesAtDepth2	DriverDiversityFrom1SamplesAtDepth3	DriverDiversityFrom1SamplesAtDepth4	DriverDiversityFrom1SamplesAtDepth5	DriverDiversityFrom1SamplesAtDepth6	DriverDiversityFrom1SamplesAtDepth7	DriverDiversityFrom1SamplesAtDepth8	DriverDiversityFrom1SamplesAtDepth9	DriverDiversityFrom1SamplesAtDepth10	DriverDiversityFrom1RandomSamples	DriverDiversityFrom1BigSamplesAtDepth0	DriverDiversityFrom1BigSamplesAtDepth1	DriverDiversityFrom1BigSamplesAtDepth2	DriverDiversityFrom1BigSamplesAtDepth3	DriverDiversityFrom1BigSamplesAtDepth4	DriverDiversityFrom1BigSamplesAtDepth5	DriverDiversityFrom1BigSamplesAtDepth6	DriverDiversityFrom1BigSamplesAtDepth7	DriverDiversityFrom1BigSamplesAtDepth8	DriverDiversityFrom1BigSamplesAtDepth9	DriverDiversityFrom1BigSamplesAtDepth10	DriverDiversityFrom1BigRandomSamples	DriverDiversityFrom2SamplesAtDepth0	DriverDiversityFrom2SamplesAtDepth1	DriverDiversityFrom2SamplesAtDepth2	DriverDiversityFrom2SamplesAtDepth3	DriverDiversityFrom2SamplesAtDepth4	DriverDiversityFrom2SamplesAtDepth5	DriverDiversityFrom2SamplesAtDepth6	DriverDiversityFrom2SamplesAtDepth7	DriverDiversityFrom2SamplesAtDepth8	DriverDiversityFrom2SamplesAtDepth9	DriverDiversityFrom2SamplesAtDepth10	DriverDiversityFrom2RandomSamples	DriverDiversityFrom2BigSamplesAtDepth0	DriverDiversityFrom2BigSamplesAtDepth1	DriverDiversityFrom2BigSamplesAtDepth2	DriverDiversityFrom2BigSamplesAtDepth3	DriverDiversityFrom2BigSamplesAtDepth4	DriverDiversityFrom2BigSamplesAtDepth5	DriverDiversityFrom2BigSamplesAtDepth6	DriverDiversityFrom2BigSamplesAtDepth7	DriverDiversityFrom2BigSamplesAtDepth8	DriverDiversityFrom2BigSamplesAtDepth9	DriverDiversityFrom2BigSamplesAtDepth10	DriverDiversityFrom2BigRandomSamples	DriverDiversityFrom4SamplesAtDepth0	DriverDiversityFrom4SamplesAtDepth1	DriverDiversityFrom4SamplesAtDepth2	DriverDiversityFrom4SamplesAtDepth3	DriverDiversityFrom4SamplesAtDepth4	DriverDiversityFrom4SamplesAtDepth5	DriverDiversityFrom4SamplesAtDepth6	DriverDiversityFrom4SamplesAtDepth7	DriverDiversityFrom4SamplesAtDepth8	DriverDiversityFrom4SamplesAtDepth9	DriverDiversityFrom4SamplesAtDepth10	DriverDiversityFrom4RandomSamples	DriverDiversityFrom4BigSamplesAtDepth0	DriverDiversityFrom4BigSamplesAtDepth1	DriverDiversityFrom4BigSamplesAtDepth2	DriverDiversityFrom4BigSamplesAtDepth3	DriverDiversityFrom4BigSamplesAtDepth4	DriverDiversityFrom4BigSamplesAtDepth5	DriverDiversityFrom4BigSamplesAtDepth6	DriverDiversityFrom4BigSamplesAtDepth7	DriverDiversityFrom4BigSamplesAtDepth8	DriverDiversityFrom4BigSamplesAtDepth9	DriverDiversityFrom4BigSamplesAtDepth10	DriverDiversityFrom4BigRandomSamples
529.492737	205000	1.653451	1.359248	1.056067	1.000000	1.000000	1.000000	1.000000	1.000000	1.971609	1.000000	1.000000	1.020200	1.127142	1.000000	1.713502	2.000000	2.019998	2.015517	2.497068	2.000000	3.559470	1.998540	1.996461	2.477014	1.769088	1.034214	1.816200	1.737863	1.628070	1.639530	1.907455	1.600000	1.993917	2.654902	1.680031	3.240445	1.380849	1.010554	1.573378	1.000000	1.000000	1.000000	1.004684	1.279003	1.901952	1.000000	1.000000	1.365164	1.333288	1.060393	1.574516	1.882788	2.009144	2.074661	2.315334	2.360818	3.232466	1.999789	2.017617	3.209133	1.946099	1.065850	1.686893	1.435847	1.644735	1.730025	1.917561	1.696078	1.941993	2.410897	1.788329	3.265077	1.646895	1.045621	1.684586
530.088318	208262	1.665290	1.360559	1.055686	1.000000	1.000000	1.000000	1.000000	1.061797	1.980198	1.000000	1.000000	1.000000	1.243472	1.022469	1.462416	2.000000	2.019998	2.016535	2.402536	2.039984	3.647509	1.996307	1.996534	2.443813	1.949517	1.033889	1.723841	1.655065	1.656646	1.745859	1.881859	1.603174	2.084761	2.640980	1.686960	3.299492	1.443008	1.015956	1.643554	1.000000	1.000000	1.000000	1.014150	1.344720	1.770535	1.000000	1.000000	1.405743	1.347836	1.052252	1.664497	1.921430	2.025634	2.072439	2.296513	2.457094	3.280602	2.002244	2.008861	3.218831	1.963293	1.052320	1.577129	1.490421	1.662246	1.781910	1.937298	1.700209	1.983970	2.435693	1.793086	3.313145	1.635705	1.043030	1.654432
530.383789	210000	1.670590	1.353491	1.055291	1.000000	1.000000	1.000000	1.000000	1.083189	1.907669	1.000000	1.000000	1.000000	1.267748	1.000000	1.927525	2.000000	2.039984	2.015517	2.402536	2.099738	3.658983	1.998571	1.998049	2.448225	1.896606	1.022596	1.861677	1.814510	1.643459	1.618972	2.381695	1.621107	2.126093	2.626406	1.681790	3.315424	1.420125	1.005277	1.682333	1.000000	1.000000	1.000000	1.009400	1.390795	1.650621	1.000000	1.000000	1.393362	1.346924	1.036304	1.599197	1.977477	2.016193	2.082305	2.320045	2.502505	3.115908	1.999760	2.015902	3.255154	1.962156	1.042949	1.701223	1.780756	1.663557	1.632458	2.117006	1.708654	2.005899	2.394240	1.778630	3.383008	1.683638	1.037857	1.665088
531.247925	215000	1.685208	1.225661	1.059659	1.000000	1.000000	1.000000	1.000000	1.068103	1.522534	1.000000	1.000000	1.000000	1.470588	1.000000	1.577785	1.470588	1.998089	2.020406	2.148632	2.205981	3.475843	2.000000	1.995569	2.019998	2.351368	1.011236	1.690903	1.039785	1.588282	1.778250	1.811724	1.609114	1.972989	2.671066	1.811208	2.841615	1.693519	1.000000	1.643487	1.000000	1.000000	1.000000	1.000000	1.156917	1.883304	1.021895	1.000000	1.200573	1.537299	1.020537	1.714002	1.999323	2.001296	2.010511	2.174343	2.326739	3.314641	2.115595	2.000922	2.749847	2.295454	1.018017	1.704556	1.148586	1.587499	1.752169	1.892875	1.670498	2.018470	2.549877	1.806400	3.104942	1.748893	1.027573	1.693230
532.208252	220000	1.708559	1.246154	1.066337	1.000000	1.000000	1.000000	1.000000	1.115887	1.444669	1.000000	1.000000	1.000000	1.650710	1.000000	1.688619	1.158983	2.019315	1.999796	2.292264	2.055995	2.695055	1.999796	1.998540	2.457272	2.224824	1.000000	1.736111	1.073633	1.601619	1.601653	1.838450	1.569121	1.969000	2.902059	2.656429	3.167546	1.713036	1.000000	1.797955	1.000000	1.000000	1.000000	1.000000	1.218904	1.675603	1.007255	1.000000	1.200315	1.645762	1.002554	1.624131	1.268633	2.004781	2.053669	2.246443	2.333046	3.088841	2.003875	2.022827	3.001302	2.251663	1.001275	1.675532	1.111688	1.576890	1.639565	1.774265	1.639235	1.922916	2.560913	2.592155	3.777033	1.763033	1.085309	1.709179
533.181458	225000	1.731737	1.206680	1.065055	1.000000	1.000000	1.000000	1.000000	1.161719	1.104972	1.000000	1.000000	1.000000	1.650710	1.000000	1.605652	1.637394	2.019706	1.999167	2.199978	2.055995	2.600979	1.999536	1.999474	2.407510	2.498270	1.000000	1.810119	1.339157	1.606555	1.862938	1.933803	1.579144	1.878363	2.207951	2.044134	2.953090	1.644218	1.016042	1.856148	1.000000	1.000000	1.000000	1.000000	1.363011	1.437824	1.007264	1.000000	1.163626	1.775298	1.005102	1.702678	1.341840	2.020532	2.040782	2.284215	2.423892	2.932638	1.999484	2.033297	2.957180	2.352391	1.006396	1.727810	1.162853	1.601408	1.901906	2.017028	1.707428	1.921903	2.269475	2.204257	3.329721	1.671534	1.030847	1.761012
534.115295	230000	1.759415	1.454409	1.065121	1.000000	1.000000	1.000000	1.000000	1.293398	1.040799	1.000000	1.000000	1.000000	1.987281	1.000000	1.811594	1.059946	1.998686	2.061087	2.092754	2.316413	2.670208	2.000000	1.995569	2.000000	2.698287	1.000000	1.968698	1.983607	1.585006	2.054563	1.947741	1.613940	1.882498	2.328212	2.101803	2.620922	1.882169	1.000000	1.754501	1.000000	1.000000	1.000000	1.009697	1.614771	1.336855	1.000000	1.007712	1.130617	1.937039	1.005115	1.721591	1.975875	2.004760	2.031364	2.199244	2.682895	2.811680	2.060105	2.005523	2.770716	2.642707	1.006403	1.839329	1.382145	1.615214	1.971648	2.083210	1.780501	1.916752	2.387009	2.262283	3.138304	1.805044	1.035585	1.794517
535.081543	235000	1.781734	1.388957	1.064137	1.000000	1.000000	1.000000	1.000000	1.020200	1.814224	1.000000	1.000000	1.000000	1.996805	1.000000	2.050861	1.689655	1.993248	1.999536	2.101057	2.144013	3.461405	1.998089	2.000000	2.015517	2.790134	1.000000	1.872484	1.023253	1.569717	2.055061	2.167152	1.634759	2.021785	2.428296	2.352703	2.658223	1.860794	1.000000	2.040920	1.000000	1.000000	1.000000	1.000000	1.196248	1.729522	1.007772	1.002413	1.063327	1.999997	1.000000	1.652761	1.794094	1.986084	2.022999	2.241727	2.388577	3.238659	2.051504	2.014504	2.801592	2.753648	1.003845	1.780425	1.152085	1.500338	2.023397	2.149794	1.821672	1.960926	2.426482	2.378165	3.162942	1.842127	1.040837	1.839321
536.085876	240000	1.805595	1.162244	1.063956	1.000000	1.000000	1.000000	1.000000	1.243472	1.496558	1.000000	1.000000	1.000000	1.980198	1.000000	1.913509	1.953757	1.994475	2.059379	2.141637	2.528613	3.140210	1.997373	2.000000	2.061355	2.899598	1.000000	1.922153	1.180328	1.582697	1.837402	2.821260	2.104451	1.942633	2.446978	2.482461	2.726874	1.893193	1.005277	1.796945	1.000000	1.000000	1.000000	1.002608	1.392406	1.466248	1.000000	1.000000	1.036304	1.951275	1.005141	1.758829	1.835452	2.007809	2.025604	2.305375	2.639910	3.056360	2.072484	2.004816	2.812908	2.839144	1.009020	1.744423	1.297665	1.548285	1.705492	2.420046	2.109251	1.988760	2.446207	2.456601	3.164432	1.935535	1.053627	1.761432
536.969177	245000	1.817657	1.276014	1.065140	1.000000	1.000000	1.000000	1.000000	1.342282	1.317176	1.000000	1.000000	1.000000	1.792757	1.022219	1.694915	1.973045	2.016535	2.019514	2.121413	2.486107	2.835673	1.998089	2.000000	2.062946	2.975854	1.010929	1.699669	1.404328	1.569395	1.770009	2.733318	2.315563	1.935177	2.506732	2.638044	2.713837	2.013506	1.015956	1.806277	1.000000	1.000000	1.000000	1.023803	1.535432	1.304731	1.000000	1.000000	1.033669	1.811169	1.018110	1.886337	1.852146	1.989224	2.016032	2.268284	2.752184	2.881794	2.075056	2.016866	2.843658	2.862596	1.009009	1.870862	1.286606	1.540029	1.704310	2.447466	2.175986	1.967322	2.493333	2.577862	3.183332	2.014990	1.068430	1.762893
537.798279	250000	1.828851	1.370994	1.069329	1.000000	1.000000	1.000000	1.000000	1.937234	1.104972	1.000000	1.000000	1.000000	1.317176	1.000000	1.832845	1.930405	1.994475	2.039066	2.148597	2.806797	2.600104	1.997373	2.000000	2.063281	2.929495	1.000000	1.640285	1.892045	1.569717	1.750217	2.723473	2.427490	2.005644	2.528179	2.644637	2.351943	2.195651	1.000000	1.879169	1.000000	1.000000	1.000000	1.026438	1.805914	1.140150	1.000000	1.000000	1.020563	1.725860	1.018086	1.839723	1.968616	2.000364	2.013442	2.276141	2.992638	2.531256	2.074979	2.009647	2.820668	2.907224	1.010308	1.880475	1.571601	1.554544	1.732630	2.468488	2.346215	1.869429	2.316966	2.664263	3.091447	2.083897	1.071744	1.834769
538.584290	255000	1.845383	1.385944	1.069995	1.000000	1.000000	1.000000	1.021274	1.834862	1.104972	1.000000	1.000000	1.000000	1.522534	1.000000	1.847063	2.000000	1.994475	1.999536	2.272042	2.814006	2.507208	1.997373	2.000000	2.106430	2.998849	1.000000	1.844678	1.795213	1.564555	1.792412	2.893904	2.685813	2.001269	2.577544	2.638009	2.378066	1.914219	1.000000	2.075012	1.000000	1.000000	1.000000	1.069995	1.995347	1.104972	1.000000	1.000000	1.015404	1.757927	1.012903	1.919415	1.999995	1.990352	2.006264	2.442981	3.218101	2.542385	2.056981	2.004819	2.873202	2.822593	1.014211	1.898517	1.692593	1.556113	1.733629	2.605446	2.535693	1.860891	2.385544	2.691111	3.177400	2.011287	1.069690	1.831486
539.320068	260000	1.856264	1.303790	1.070651	1.000000	1.000000	1.000000	1.021050	1.600000	1.000000	1.000000	1.000000	1.000000	1.522534	1.000000	2.068680	2.000000	1.994475	2.039066	2.213062	2.544852	2.476167	1.997373	2.000000	2.084700	2.859179	1.000000	1.748099	1.776340	1.571330	1.759643	2.981709	2.640743	1.880061	2.596611	2.670830	2.559583	2.142435	1.000000	1.759092	1.000000	1.000000	1.000000	1.151057	1.956799	1.048871	1.000000	1.000000	1.005108	1.751333	1.033844	1.795796	1.997129	2.002195	2.013656	2.502492	3.208904	2.475028	2.067253	2.007228	2.919452	2.806361	1.020696	1.809907	1.725606	1.577488	1.719594	2.643694	2.625319	1.858434	2.413176	2.718775	3.256742	2.045432	1.079979	1.805208
540.005127	265000	1.868011	1.278757	1.069342	1.000000	1.000000	1.000000	1.064449	1.267748	1.000000	1.000000	1.000000	1.000000	1.292324	1.000000	1.646904	2.000000	1.994475	2.039066	2.240383	2.351133	2.522068	1.997373	2.000000	2.061355	2.856917	1.000000	1.797591	1.693668	1.566161	1.852032	2.888532	2.751034	1.931983	2.587129	2.656984	2.616328	2.377603	1.000000	1.816860	1.000000	1.000000	1.000000	1.205573	1.819998	1.031507	1.000000	1.000000	1.007689	1.657260	1.060866	1.855122	1.999993	2.005654	2.020571	2.571587	3.173489	2.437121	2.051887	2.012074	2.940135	2.857671	1.035281	1.837923	1.687179	1.600189	1.729881	2.688257	2.651209	1.845628	2.415788	2.736908	3.298777	2.137233	1.087087	1.838603
540.088318	265660	1.870053	1.290782	1.069143	1.000000	1.000000	1.000000	1.063765	1.342282	1.061797	1.000000	1.000000	1.000000	1.317176	1.000000	2.300967	2.000000	1.994475	2.058956	2.322503	2.284514	2.628466	1.997373	2.000000	2.084924	2.726174	1.000000	1.897893	1.664401	1.562958	1.838231	2.808490	2.697109	1.854992	2.624407	2.666461	2.584591	2.333180	1.000000	1.888976	1.000000	1.000000	1.000000	1.174537	1.835339	1.059063	1.000000	1.000000	1.010253	1.642133	1.026003	1.968039	1.999659	2.005654	2.020953	2.522827	3.087457	2.439116	2.041596	2.016904	2.898293	2.838542	1.043314	1.824964	1.674245	1.599986	1.734209	2.679748	2.610148	1.849485	2.408645	2.737363	3.325019	2.160895	1.083528	1.895174
540.646790	270000	1.878383	1.382054	1.070092	1.000000	1.000000	1.000000	1.064449	1.367615	1.000000	1.000000	1.000000	1.000000	1.444669	1.000000	1.882530	2.000000	1.995569	2.058956	2.298368	2.373912	2.409348	1.998089	2.000000	2.153809	2.801490	1.000000	1.751927	1.600000	1.569717	1.822081	2.906559	2.743337	1.892450	2.596611	2.670270	2.598440	2.280018	1.000000	1.827485	1.000000	1.000000	1.000000	1.293679	1.692941	1.044088	1.000000	1.000000	1.007669	1.605399	1.031283	1.838499	1.999057	2.015963	2.035150	2.679096	3.018551	2.431257	2.046704	2.019352	2.855331	2.808866	1.024733	1.830885	1.644883	1.599986	1.758584	2.687250	2.589554	1.846200	2.426499	2.741419	3.332382	2.122232	1.088226	1.878157
541.293152	275000	1.893040	1.351015	1.069919	1.000000	1.000000	1.000000	1.063765	1.104972	1.000000	1.000000	1.000000	1.000000	1.195886	1.000000	1.637197	2.000000	1.994475	2.098547	2.260293	2.100458	2.397794	1.997373	2.000000	2.156992	2.798793	1.000000	1.685914	1.600000	1.564555	1.850744	2.899185	2.619856	1.788579	2.624407	2.688585	2.638277	2.413290	1.000000	1.970638	1.000000	1.000000	1.000000	1.395755	1.506602	1.062097	1.000000	1.000000	1.005112	1.567470	1.047404	1.941333	1.996897	2.026044	2.044742	2.765652	2.885683	2.400553	2.039077	2.016887	2.917221	2.786503	1.058192	1.828814	1.615609	1.603831	1.792536	2.769785	2.630332	1.830512	2.412999	2.764754	3.371547	2.148040	1.088044	1.906695
